"ID";"CNAE";"DESCRIPCION"
236;"2820";"FABRIC. DE CISTERNAS; GRANDES DEPOSITOS; RADIADORES;CALDERAS"
237;"2821";"FABRIC. CISTERNAS; GRANDES DEPOSITOS Y CONTENEDORES DE METAL"
238;"2822";FABRIC. DE RADIADORES Y CALDERAS PARA CALEFACCION CENTRAL
239;"2830";FABRICACION DE GENERADORES DE VAPOR
240;"2840";"FORJA; ESTAMPACION Y EMBUTICION DE METALES;METALURG.DE POLVO"
241;"2850";TRATAMIENTO Y REVESTIMIENTO DE METALES. INGENIERIA MECANICA
242;"2851";TRATAMIENTO Y REVESTIMIENTO DE METALES
243;"2852";INGENIERIA MECANICA GENERAL POR CUENTA DE TERCEROS
244;"2860";"FABRIC. ARTIC. DE CUCHILLERIA Y CUBERTERIA;HERRAM.;FERRETER."
245;"2861";FABRICACION DE ARTICULOS DE CUCHILLERIA Y CUBERTERIA
246;"2862";FAB. HERRAMIENTAS Y UTILES INTERCAMBIABLES MAQ. HERRAMIENTA.
247;"2863";FABRICACION DE CERRADURAS Y HERRAJES
248;"2870";"FABRICACION DE PRODUCTOS METALICOS DIVERSOS; EXCEPTO MUEBLES"
249;"2871";FABRICACION DE BIDONES Y TONELES DE HIERRO Y ACERO
250;"2872";"FABRICACION DE ENVASES Y EMBALAJES LIGEROS; EN METAL"
251;"2873";FABRICACION DE PRODUCTOS DE ALAMBRE
252;"2874";"FABRICACION DE PERNOS; TORNILLOS; CADENAS Y MUELLES"
253;"2875";FABRICACION DE OTROS PRODUCTOS METALICOS
254;"2910";"FABRICACION DE MAQUINAS; EQUIPO Y MATERIAL MECANICO"
255;"2911";"FAB. MOT. Y TURBINAS; EX. DEST. A AERONAVES; VEHIC.; CICLOM."
256;"2912";"FABRICACION DE BOMBAS; COMPRESORES Y SISTEMAS HIDRAULICOS"
257;"2913";FABRICACION DE VALVULAS Y GRIFERIA
258;"2914";"FABRIC. COJINETES; ENGRANAJES Y ORGANOS MECANICOS TRANSMIS."
259;"2920";"FABRIC.OTRA MAQUINARIA;EQUIPO Y MATERIAL MECANICO USO GENER."
260;"2921";FABRICACION DE HORNOS Y QUEMADORES
261;"2922";FABRICACION DE MAQUINARIA DE ELEVACION Y MANIPULACION
262;"2923";FABRIC. MAQUINARIA VENTILACION Y REFRIGERACION NO DOMESTICA
263;"2924";FABRICACION DE OTRA MAQUINARIA DE USO GENERAL
264;"2930";FABRICACION DE MAQUINARIA AGRARIA
265;"2931";FABRICACION DE TRACTORES AGRICOLAS
266;"2932";FABRICACION DE OTRA MAQUINARIA AGRARIA
267;"2940";FABRICACION DE MAQUINAS-HERRAMIENTA
268;"2950";FABRICACION DE MAQUINARIA DIVERSA PARA USOS ESPECIFICOS
269;"2951";FABRICACION DE MAQUINARIA PARA INDUSTRIA METALURGICA
270;"2952";FABRIC. MAQUINARIA PARA INDUSTRIAS EXTRACTIVAS Y CONSTRUC.
271;"2953";"FABRIC. MAQUINARIA INDUSTRIA ALIMENTACION; BEBIDAS Y TABACO"
272;"2954";"FABRIC. MAQUINARIA PARA INDUSTRIA TEXTIL; CONFECCION Y CUERO"
273;"2955";FABRIC. MAQUINARIA PARA LA INDUSTRIA DEL PAPEL Y DEL CARTON
274;"2956";FABRICACION DE OTRA MAQUINARIA PARA USOS ESPECIFICOS
275;"2960";FABRICACION DE ARMAS Y MUNICIONES
276;"2970";FABRICACION DE APARATOS DOMESTICOS
277;"2971";FABRICACION DE APARATOS ELECTRODOMESTICOS
278;"2972";FABRICACION DE APARATOS DOMESTICOS NO ELECTRICOS
279;"3000";FABRICACION DE MAQUINAS DE OFICINA Y EQUIPOS INFORMATICOS
280;"3001";FABRICACION DE MAQUINAS DE OFICINA
281;"3002";FABRICACION DE ORDENADORES Y EQUIPO INFORMATICO
282;"3110";"FABRIC. DE MOTORES ELECTRICOS; TRANSFORMADORES Y GENERADORES"
283;"3120";FABRICACION DE APARATOS DE DISTRIBUCION Y CONTROL ELECTRICOS
284;"3130";FABRICACION DE HILOS Y CABLES ELECTRICOS AISLADOS           
285;"3140";FABRICACION DE ACUMULADORES Y PILAS ELECTRICAS              
286;"3150";FABRICACION DE LAMPARAS ELECTRICAS Y APARATOS DE ILUMINACION
287;"3160";FABRICACION DE OTRO EQUIPO ELECTRICO
288;"3161";FABRIC. MATERIAL Y EQUIPO ELECTRICO PARA MOTORES Y VEHICULOS
289;"3162";FABRICACION DE OTRO EQUIPO Y MATERIAL ELECTRICO
290;"3210";"FABRICACION DE VALVULAS; TUBOS Y OTROS COMPONENTES ELECTRON.   "
291;"3220";"FABRIC. TRANSMISORES DE RADIODIFUSION; T.V. Y APARAT. TELEFONIA"
292;"3230";"FABRIC. APARATOS DE RECEPC.; GRABAC.Y REPRODUC. SONIDO E IMAG. "
293;"3310";FABRIC. EQUIPO E INSTRUM. MEDICO QUIRURGICOS Y APARAT. ORTOP.
294;"3320";"FABRIC. INSTRUM. Y APARATOS DE MEDIDA; VERIFICACION; CONTROL "
295;"3330";FABRICACION DE EQUIPO DE CONTROL DE PROCESOS INDUSTRIALES    
296;"3340";FABRIC. DE INSTRUMENTOS DE OPTICA Y DE EQUIPO FOTOGRAFICO    
297;"3350";FABRICACION DE RELOJES                                       
298;"3410";FABRICACION DE VEHICULOS DE MOTOR                              
299;"3420";"FABRIC. CARROCERIAS PARA VEHICULOS A MOTOR; REMOLQUES Y SEMIR. "
300;"3430";"FABRIC. DE PARTES; PIEZAS Y ACCES. NO ELECTR. PARA VEHIC. MOTOR"
301;"3510";CONSTRUCCION Y REPARACION NAVAL
302;"3511";CONSTRUC. Y REPARACION DE BARCOS (EXCEPTO RECREO Y DEPORTE)
303;"3512";CONSTRUCCION Y REPARACION EMBARCACIONES DE RECREO Y DEPORTE
304;"3520";FABRICACION DE MATERIAL FERROVIARIO
305;"3530";CONSTRUCCION AERONAUTICA Y ESPACIAL
306;"3540";FABRICACION DE MOTOCICLETAS Y BICICLETAS
307;"3541";FABRICACION DE MOTOCICLETAS
308;"3542";FABRICACION DE BICICLETAS
309;"3543";FABRICACION DE VEHICULOS PARA INVALIDOS
310;"3550";FABRICACION DE OTRO MATERIAL DE TRANSPORTE
311;"3610";FABRICACION DE MUEBLES
312;"3611";FABRICACION DE SILLAS Y OTROS ASIENTOS
313;"3612";FABRIC. MUEBLES DE OFICINA Y ESTABLECIMIENTOS COMERCIALES
314;"3613";FABRICACION DE MUEBLES COCINA Y BAÑO
315;"3614";FABRICACION DE OTROS MUEBLES
316;"3615";FABRICACION DE COLCHONES
317;"3620";"FABRIC. ARTICULOS DE JOYERIA; ORFEBRERIA; PLATERIA Y SIMILARES"
318;"3621";FABRICACION DE MONEDAS Y MEDALLAS
319;"3622";"FABRICACION DE ARTICULOS DE JOYERIA; ORFEBRERIA Y PLATERIA"
320;"3630";FABRICACION DE INSTRUMENTOS MUSICALES
321;"3640";FABRICACION DE ARTICULOS DE DEPORTE
322;"3650";FABRICACION DE JUEGOS Y JUGUETES
323;"3660";OTRAS INDUSTRIAS MANUFACTURERAS DIVERSAS
324;"3661";FABRICACION DE BISUTERIA
325;"3662";"FABRICACION DE ESCOBAS; BROCHAS Y CEPILLOS"
326;"3663";FABRICACION DE OTROS ARTICULOS
327;"3710";RECICLAJE DE CHATARRA Y DESECHOS DE METAL
328;"3720";RECICLAJE DE DESECHOS NO METALICOS       
329;"4010";PRODUCCION Y DISTRIBUCION DE ENERGIA ELECTRICA                 
330;"4020";PRODUC. DE GAS; DISTRIB. DE COMBUST. GASEOSOS EXCP. GASEODUCTOS
331;"4030";PRODUCCION Y DISTRIBUCION DE VAPOR Y AGUA CALIENTE             
332;"4100";"CAPTACION; DEPURACION Y DISTRIBUCION DE AGUA"
333;"4510";PREPARACION DE OBRAS
334;"4511";DEMOLICION Y MOVIMIENTO DE TIERRAS
335;"4512";PERFORACIONES Y SONDEOS
336;"4520";CONSTRUC. GENERAL DE INMUEBLES Y OBRAS DE INGENIERIA CIVIL
337;"4521";"CONSTRUC. GRAL. EDIF. Y OBRAS INGEN. CIVIL (PTES.; TUNELES)"
338;"4522";CONSTRUCCION DE CUBIERTAS Y DE ESTRUCTURAS DE CERRAMIENTO
339;"4523";"CONST. CARRET.; CAMPOS ATERRIZ.; VIAS FERREAS; CTROS. DEPOR."
340;"4524";OBRAS HIDRAULICAS
341;"4525";OTRAS CONSTRUCCIONES ESPECIALIZADAS
342;"4530";INSTALACIONES DE EDIFICIOS Y OBRAS
343;"4531";INSTALACIONES ELECTRICAS
344;"4532";"AISLAMIENTO TERMICO; ACUSTICO Y ANTIVIBRATORIO"
345;"4533";FONTANERIA E INSTALACION DE CLIMATIZACION
346;"4534";OTRAS INSTALACIONES DE EDIFICIOS Y OBRAS
348;"4541";REVOCAMIENTO
362;"5113";INTERMED. COMERCIO DE LA MADERA Y MATERIALES DE CONSTRUCCION
363;"5114";"INTERMED. COMERC. MAQUIN.; EQUIPO IND. EMBARCAC. Y AERONAVES"
364;"5115";"INTERMED. COMERCIO MUEBLES; ARTICULOS HOGAR Y FERRETERIA"
365;"5116";"INTERMED. COMERCIO TEX.; PRENDAS VESTIR; CALZ. Y ART. CUERO"
366;"5117";"INTERMED. COMERCIO PRODUCTOS ALIMENTICIOS; BEBIDAS Y TABACO"
367;"5118";INTERMED. COMERCIO ESP. VENTA PROD. ESPECIF. NO MENCIONADOS
368;"5119";INTERMEDIARIOS DEL COMERCIO DE PRODUCTOS DIVERSOS
369;"5120";COMERC.POR MAYOR DE MATERIAS PRIMAS AGRAR. Y ANIMALES VIVOS
370;"5121";"COMERC. MAYOR DE CEREALES; SIMIENTES Y ALIMENTOS PARA GANADO"
371;"5122";COMERCIO AL POR MAYOR DE FLORES Y PLANTAS
372;"5123";COMERCIO AL POR MAYOR DE ANIMALES VIVOS
373;"5124";COMERCIO AL POR MAYOR DE CUEROS Y PIELES
374;"5125";COMERCIO AL POR MAYOR DE TABACO EN RAMA
375;"5130";"COMERC.POR MAYOR DE PRODUCTOS ALIMENTICIOS; BEBIDAS Y TABACO"
376;"5131";"COMERCIO AL POR MAYOR DE FRUTAS; PATATAS Y VERDURAS"
377;"5132";COMERCIO AL POR MAYOR DE CARNE Y PRODUCTOS CARNICOS
378;"5133";"COMERC. MAYOR PROD. LACTEOS; HUEVOS; ACEITES Y GRASAS COMEST"
379;"5134";COMERCIO AL POR MAYOR DE BEBIDAS
380;"5135";COMERCIO AL POR MAYOR DE PRODUCTOS DEL TABACO
381;"5136";"COMERCIO AL POR MAYOR DE AZUCAR; CHOCOLATE Y CONFITERIA"
382;"5137";"COMERCIO AL POR MAYOR DE CAFE; TE; CACAO Y ESPECIAS"
383;"5138";COMERC. MAYOR PESCADOS Y MARISCOS Y OTROS PDTOS. ALIMENTIC.
384;"5139";"COMERC. MAYOR NO ESPECIALIZ.; PDTOS. ALIMENT. BEB. Y TABACO"
385;"5140";COMERC.POR MAYOR DE PRODUCTOS DE CONSUMO NO ALIMENTICIOS
386;"5141";COMERCIO AL POR MAYOR DE TEXTILES
387;"5142";COMERCIO AL POR MAYOR DE PRENDAS DE VESTIR Y CALZADO
388;"5143";COMERC. MAYOR APARATOS ELECTRODOM. Y APARAT. RADIO Y TELEV.
389;"5144";"COMERC. MAYOR PORCEL. Y CRISTAL.; PAPELES PINT. Y ART. LIMP."
390;"5145";COMERCIO AL POR MAYOR DE PERFUMERIA Y PRODUCTOS DE BELLEZA
391;"5146";COMERCIO AL POR MAYOR DE PRODUCTOS FARMACEUTICOS
392;"5147";COMERC. MAYOR OTROS BIENES CONSUMO DISTINTO ALIMENTACION
393;"5150";"COMERC.POR MAYOR DE PROD.NO AGRARIOS SEMIELABORADOS;CHATARRA"
394;"5151";"COMERC. MAYOR DE COMBUSTIB. SOLIDOS; LIQUIDOS Y GASEOSOS"
395;"5152";COMERCIO AL POR MAYOR DE METALES Y MINERALES METALICOS
396;"5153";"COMERC. MAYOR MADERA; MAT. CONSTRUCCION Y APARAT. SANITARIOS"
397;"5154";"COMERCIO AL POR MAYOR DE FERRETERIA;FONTANERIA Y CALEFACCION"
398;"5155";COMERCIO AL POR MAYOR DE PRODUCTOS QUIMICOS
399;"5156";COMERCIO AL POR MAYOR DE OTROS PRODUCTOS SEMIELABORADOS
400;"5157";COMERCIO AL POR MAYOR DE CHATARRA Y PRODUCTOS DE DESECHO
401;"5160";COMERCIO AL POR MAYOR DE MAQUINARIA Y EQUIPO
402;"5161";COMERCIO AL POR MAYOR DE MAQUINAS-HERRAMIENTAS
403;"5162";COMERCIO AL POR MAYOR DE MAQUINARIA PARA LA CONSTRUCCION
404;"5163";COMERC. MAYOR MAQUINARIA INDUSTRIA TEXTIL MAQ. COSER Y PUNTO
405;"5164";COMERCIO AL POR MAYOR DE MAQUINAS Y EQUIPO DE OFICINA
406;"5165";COMERC. MAYOR OTRA MAQUINARIA PARA LA INDUST. COM. Y NAVEG.
407;"5166";"COMERC. MAYOR MAQUINAS; ACCESORIOS Y UTILES AGRICOLAS"
408;"5170";OTRO COMERCIO AL POR MAYOR
409;"5210";COMERCIO AL POR MENOR EN ESTABLECIMIENTOS NO ESPECIALIZADOS
410;"5211";"COMERC. MENOR; ALIMENTOS;BEBIDAS Y TABACO EN ESTAB.NO ESPEC."
411;"5212";COMERC. MENOR OTROS PDTOS. ESTABLEC. NO ESPECIALIZADOS
412;"5220";"COMERC .POR MENOR DE ALIMENTOS;BEBIDAS Y TABACO EN ESTABL."
413;"5221";COMERCIO AL POR MENOR DE FRUTAS Y VERDURAS
414;"5222";COMERCIO AL POR MENOR DE CARNE Y PRODUCTOS CARNICOS
415;"5223";COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS
416;"5224";"COMERC. MENOR PAN Y PROD. PANADERIA; CONFITERIA Y PASTELERIA"
417;"5225";COMERCIO AL POR MENOR DE BEBIDAS
418;"5226";COMERCIO AL POR MENOR DE PRODUCTOS DE TABACO
419;"5227";COMERC. MENOR EN ESTABL. ESPECIALIZ. EN ALIMENTACION
420;"5230";"COMERC.POR MENOR DE PROD.FARMACEUTICOS;ARTIC. BELLEZA; HIGIENE"
421;"5231";COMERCIO AL POR MENOR DE PRODUCTOS FARMACEUTICOS
422;"5232";COMERCIO AL POR MENOR DE ARTICULOS MEDICOS Y ORTOPEDICOS
423;"5233";COMERCIO AL POR MENOR DE COSMETICOS Y ARTICULOS DE TOCADOR
424;"5240";OTRO COMERC.POR MENOR DE ARTIC. NUEVOS EN ESTABL.ESPECIALIZ.
425;"5241";COMERCIO AL POR MENOR DE TEXTILES
426;"5242";COMERCIO AL POR MENOR DE PRENDAS DE VESTIR
427;"5243";COMERCIO AL POR MENOR DE CALZADO Y ARTICULOS DE CUERO
428;"5244";COMERC. MENOR MUEBLES; APARATOS ILUMINAC. Y OTROS ART. HOGAR
429;"5245";"COMERC. MENOR ELECTRODOMEST.; APARATOS RADIO; TV. Y SONIDO"
430;"5246";"COMERCIO AL POR MENOR DE FERRETERIA; PINTURAS Y VIDRIO"
431;"5247";"COMERCIO AL POR MENOR DE LIBROS; PERIODICOS Y PAPELERIA"
432;"5248";OTRO COMERCIO MENOR EN ESTABLECIMIENTOS ESPECIALIZADOS
433;"5250";COMERC.POR MENOR DE BIENES DE SEGUNDA MANO EN ESTABLECIMIEN.
434;"5260";COMERCIO AL POR MENOR NO REALIZADO EN ESTABLECIMIENTOS
435;"5261";COMERCIO AL POR MENOR POR CORRESPONDENCIA
436;"5262";COMERCIO AL POR MENOR EN PUESTOS DE VENTA Y MERCADILLOS
437;"5263";OTRO COMERCIO AL POR MENOR NO REALIZADO EN ESTABLECIMIENTOS
438;"5270";REPARACION DE EFECTOS PERSONALES Y ENSERES DOMESTICOS
439;"5271";REPARACION DE CALZADO Y OTROS ARTICULOS DE CUERO
440;"5272";REPARACION DE APARATOS DOMESTICOS ELECTRICOS
441;"5273";REPARACION DE RELOJES Y JOYERIA
442;"5274";OTRA REPARACION
443;"5510";HOTELES
444;"5511";"HOTELES; MOTELES; HOSTALES Y PENSIONES CON RESTAURANTE"
445;"5512";"HOTELES; MOTELES; HOSTALES Y PENSIONES SIN RESTAURANTE"
446;"5520";CAMPING Y OTROS TIPOS DE HOSPEDAJE DE CORTA DURACION
447;"5521";ALBERGUES JUVENILES Y REFUGIOS DE MONTAÑA
448;"5522";CAMPING
449;"5523";OTROS TIPOS DE HOSPEDAJE
450;"5530";RESTAURANTES
451;"5540";ESTABLECIMIENTOS DE BEBIDAS
452;"5550";COMEDORES COLECTIVOS Y PROVISION DE COMIDAS PREPARADAS
453;"5551";COMEDORES COLECTIVOS
454;"5552";PROVISION DE COMIDAS PREPARADAS
455;"6010";TRANSPORTE POR FERROCARRIL
456;"6020";OTROS TIPOS DE TRANSPORTE TERRESTRE
457;"6021";OTROS TIPOS DE TRANSPORTE TERRESTRE REGULAR DE VIAJEROS
458;"6022";TRANSPORTE POR TAXI
459;"6023";OTROS TIPOS DE TRANSPORTE TERRESTRE DISCRECIONAL DE VIAJEROS
460;"6024";TRANSPORTE DE MERCANCIAS POR CARRETERA
461;"6030";TRANSPORTE POR TUBERIA
347;"4540";ACABADO DE EDIFICIOS Y OBRAS
349;"4542";INSTALACIONES DE CARPINTERIA
350;"4543";REVESTIMIENTO DE SUELOS Y PAREDES
351;"4544";ACRISTALAMIENTO Y PINTURA
352;"4545";OTROS TRABAJOS DE ACABADO DE EDIFICIOS Y OBRAS
353;"4550";ALQUILER DE EQUIPO DE CONSTRUCCION O DEMOLICION DOTADO DE OP
354;"5010";VENTA DE VEHICULOS DE MOTOR                               
355;"5020";MANTENIMIENTO Y REPARACION DE VEHICULOS DE MOTOR          
356;"5030";VENTA DE REPUESTOS Y ACCESORIOS DE VEHICULOS DE MOTOR     
357;"5040";"VENTA; MANTENIM. REPARACION DE MOTOCICLETAS Y CICLOMOTORES"
358;"5050";VENTA AL POR MENOR DE CARBURANTES PARA LA AUTOMOCION      
359;"5110";INTERMEDIARIOS DEL COMERCIO
360;"5111";"INTERM. COM. MAT. PRIMAS AGRAR.; ANIMALES; MAT. PRIMAS TEX."
361;"5112";"INTERMED. COMERC. COMBUST.; MINERALES; MET. Y PDTOS. QUIMIC."
462;"6110";TRANSPORTE MARITIMO                              
463;"6120";TRANSPORTE POR VIAS DE NAVEGACION INTERIORES     
464;"6210";TRANSPORTE AEREO REGULAR     
465;"6220";TRANSPORTE AEREO DISCRECIONAL
466;"6230";TRANSPORTE ESPACIAL          
467;"6310";MANIPULACION Y DEPOSITO DE MERCANCIAS
468;"6311";MANIPULACION DE MERCANCIAS
469;"6312";DEPOSITO Y ALMACENAMIENTO
470;"6320";OTRAS ACTIVIDADES ANEXAS A LOS TRANSPORTES
471;"6321";OTRAS ACTIVIDADES ANEXAS AL TRANSPORTE TERRESTRE
472;"6322";OTRAS ACTIVIDADES ANEXAS AL TRANSPORTE MARITIMO
473;"6323";OTRAS ACTIVIDADES ANEXAS AL TRANSPORTE AEREO
474;"6330";"ACTIVID.DE AGENCIAS DE VIAJES; MAYOR. Y MINORIST. DE TURISMO"
475;"6340";ORGANIZACION DEL TRANSPORTE DE MERCANCIAS
476;"6410";ACTIVIDADES POSTALES Y DE CORREO
477;"6411";ACTIVIDADES POSTALES NACIONALES
478;"6412";ACTIV. CORREO DISTINTAS DE LAS ACTIV. POSTALES NACIONALES
479;"6420";TELECOMUNICACIONES
480;"6510";INTERMEDIACION MONETARIA
481;"6511";BANCA CENTRAL
482;"6512";OTROS TIPOS DE INTERMEDIACION MONETARIA
483;"6520";OTROS TIPOS DE INTERMEDIACION FINANCIERA
484;"6521";ARRENDAMIENTO FINANCIERO
485;"6522";OTROS TIPOS DE ACTIVIDADES CREDITICIAS
486;"6523";OTROS DIVERSOS TIPOS DE INTERMEDIACION FINANCIERA
487;"6600";"SEGUROS Y PLANES DE PENSIONES; EXCEPTO SEGUR. SOCIAL OBLIGAT."
488;"6601";SEGUROS DE VIDA
489;"6602";PLANES DE PENSIONES
490;"6603";SEGUROS NO VIDA
1007;"0114";CULTIVO DE CAÑA DE AZUCAR
1008;"0115";CULTIVO DE TABACO
1009;"0116";CULTIVO DE PLANTAS PARA FIBRAS TEXTILES
1010;"0119";OTROS CULTIVOS NO PERENNES
1012;"0121";CULTIVO DE LA VID
1013;"0122";CULTIVO DE FRUTOS TROPICALES Y SUBTROPICALES
1014;"0123";CULTIVO DE CITRICOS
1015;"0124";CULTIVO DE FRUTOS CON HUESO Y PEPITAS
1016;"0125";CULTIVO DE OTROS ARBOLES Y ARBUSTOS FRUTALES Y FRUTOS SECOS
1017;"0126";CULTIVO DE FRUTOS OLEAGINOSOS
1018;"0127";CULTIVO DE PLANTAS PARA BEBIDAS
1019;"0128";"CULTIVO DE ESPECIAS; PLANTAS AROMATICAS; MEDICINALES Y FARMACEUTICAS"
1020;"0129";OTROS CULTIVOS PERENNES
1022;"0130";PROPAGACION DE PLANTAS
1024;"0141";EXPLOTACION DE GANADO BOVINO PARA LA PRODUCCION DE LECHE
1025;"0142";EXPLOTACION DE OTRO GANADO BOVINO Y BUFALOS
1026;"0143";EXPLOTACION DE CABALLOS Y OTROS EQUINOS
1027;"0144";EXPLOTACION DE CAMELLOS Y OTROS CAMELIDOS
1028;"0145";EXPLOTACION DE GANADO OVINO Y CAPRINO
1029;"0146";EXPLOTACION DE GANADO PORCINO
1030;"0147";AVICULTURA
1031;"0149";OTRAS EXPLOTACIONES DE GANADO
1033;"0150";PRODUCCION AGRICOLA COMBINADA CON LA PRODUCCION GANADERA
1035;"0161";ACTIVIDADES DE APOYO A LA AGRICULTURA
1036;"0162";ACTIVIDADES DE APOYO A LA GANADERIA
1037;"0163";ACTIVIDADES DE PREPARACION POSTERIOR A LA COSECHA
1038;"0164";TRATAMIENTO DE SEMILLAS PARA REPRODUCCION
1040;"0170";"CAZA; CAPTURA DE ANIMALES Y SERVICIOS RELACIONADOS CON LAS MISMAS"
1043;"0210";SILVICULTURA Y OTRAS ACTIVIDADES FORESTALES
1045;"0220";EXPLOTACION DE LA MADERA
1047;"0230";"RECOLECCION DE PRODUCTOS SILVESTRES; EXCEPTO MADERA"
1049;"0240";SERVICIOS DE APOYO A LA SILVICULTURA
1052;"0311";PESCA MARINA
1053;"0312";PESCA EN AGUA DULCE
1055;"0321";ACUICULTURA MARINA
1056;"0322";ACUICULTURA EN AGUA DULCE
1060;"0510";EXTRACCION DE ANTRACITA Y HULLA
1062;"0520";EXTRACCION DE LIGNITO
1065;"0610";EXTRACCION DE CRUDO DE PETROLEO
1067;"0620";EXTRACCION DE GAS NATURAL
1070;"0710";EXTRACCION DE MINERALES DE HIERRO
1072;"0721";EXTRACCION DE MINERALES DE URANIO Y TORIO
1073;"0729";EXTRACCION DE OTROS MINERALES METALICOS NO FERREOS
1076;"0811";"EXTRACCION DE PIEDRA ORNAMENTAL Y PARA LA CONSTRUCCION; PIEDRA CALIZA; YESO; CRETA Y PIZARRA"
1077;"0812";EXTRACCION DE GRAVAS Y ARENAS; EXTRACCION DE ARCILLA Y CAOLIN
1079;"0891";EXTRACCION DE MINERALES PARA PRODUCTOS QUIMICOS Y FERTILIZANTES
1080;"0892";EXTRACCION DE TURBA
1081;"0893";EXTRACCION DE SAL
1082;"0899";OTRAS INDUSTRIAS EXTRACTIVAS N.C.O.P.
1085;"0910";ACTIVIDADES DE APOYO A LA EXTRACCION DE PETROLEO Y GAS NATURAL
1087;"0990";ACTIVIDADES DE APOYO A OTRAS INDUSTRIAS EXTRACTIVAS
1091;"1011";PROCESADO Y CONSERVACION DE CARNE
1092;"1012";PROCESADO Y CONSERVACION DE VOLATERIA
1093;"1013";ELABORACION DE PRODUCTOS CARNICOS Y DE VOLATERIA
1095;"1021";"PROCESADO DE PESCADOS; CRUSTACEOS Y MOLUSCOS"
1096;"1022";FABRICACION DE CONSERVAS DE PESCADO
1098;"1031";PROCESADO Y CONSERVACION DE PATATAS
1099;"1032";ELABORACION DE ZUMOS DE FRUTAS Y HORTALIZAS
1100;"1039";OTRO PROCESADO Y CONSERVACION DE FRUTAS Y HORTALIZAS
1102;"1042";FABRICACION DE MARGARINA Y GRASAS COMESTIBLES SIMILARES
1103;"1043";FABRICACION DE ACEITE DE OLIVA
1104;"1044";FABRICACION DE OTROS ACEITES Y GRASAS
1106;"1052";ELABORACION DE HELADOS
1107;"1053";FABRICACION DE QUESOS
1108;"1054";PREPARACION DE LECHE Y OTROS PRODUCTOS LACTEOS
1110;"1061";FABRICACION DE PRODUCTOS DE MOLINERIA
1111;"1062";FABRICACION DE ALMIDONES Y PRODUCTOS AMILACEOS
1113;"1071";FABRICACION DE PAN Y DE PRODUCTOS FRESCOS DE PANADERIA Y PASTELERIA
1114;"1072";FABRICACION DE GALLETAS Y PRODUCTOS DE PANADERIA Y PASTELERIA DE LARGA DURACION
1115;"1073";"FABRICACION DE PASTAS ALIMENTICIAS; CUSCUS Y PRODUCTOS SIMILARES"
1117;"1081";FABRICACION DE AZUCAR
1118;"1082";"FABRICACION DE CACAO; CHOCOLATE Y PRODUCTOS DE CONFITERIA"
1119;"1083";"ELABORACION DE CAFE; TE E INFUSIONES"
1120;"1084";"ELABORACION DE ESPECIAS; SALSAS Y CONDIMENTOS"
1121;"1085";ELABORACION DE PLATOS Y COMIDAS PREPARADOS
1122;"1086";ELABORACION DE PREPARADOS ALIMENTICIOS HOMOGENEIZADOS Y ALIMENTOS DIETETICOS
1123;"1089";ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.O.P.
1125;"1091";FABRICACION DE PRODUCTOS PARA LA ALIMENTACION DE ANIMALES DE GRANJA
1126;"1092";FABRICACION DE PRODUCTOS PARA LA ALIMENTACION DE ANIMALES DE COMPAÑIA
1129;"1101";"DESTILACION; RECTIFICACION Y MEZCLA DE BEBIDAS ALCOHOLICAS"
1130;"1102";ELABORACION DE VINOS
